Order_ID,Customer_Name,City,Order_Date,Product,Quantity,Sales
1001,Asha,Mumbai,2026-12-01,Laptop,2,75000.0
1002,Rahul,Mumbai,,Mouse,5,5000.0
1003,Priya,Mumbai,,Keyboard,3,4500.0
1004,Amit,Pune,2026-01-22,Monitor,2,30000.0
1005,Neha,Pune,,Laptop,1,72000.0
1006,Rohan,Nashik,,Mouse,4,4000.0
1007,Sneha,Nashik,,Keyboard,2,3000.0
1008,Vikas,Mumbai,2026-02-02,Monitor,1,15000.0
1009,Kiran,Pune,,Laptop,1,70000.0
1010,Pooja,Pune,2026-08-02,Mouse,6,6000.0
1011,Arjun,Nashik,2026-12-02,Keyboard,2,10000.0
1012,Meena,Mumbai,,Monitor,2,28000.0
1014,Ravi,Pune,,Laptop,1,68000.0
1015,Isha,Nashik,,Mouse,3,3000.0
1016,Om,Mumbai,,Keyboard,4,6000.0
1017,Tina,Pune,2026-02-28,Monitor,1,10000.0
1018,Sahil,Nashik,,Laptop,1,69000.0
1019,Riya,Mumbai,2026-05-03,Mouse,5,5000.0
1020,Dev,Pune,,Keyboard,2,3200.0
1022,Kabir,Nashik,,Monitor,2,29000.0
1023,Nikita,Mumbai,,Laptop,1,71000.0
1024,Varun,Pune,,Mouse,4,4000.0
1025,Anjali,Nashik,,Keyboard,3,4800.0
1026,Sonal,Mumbai,,Monitor,1,14000.0
1027,Manav,Pune,2026-03-28,Laptop,1,73000.0
1028,Diya,Nashik,,Mouse,2,2000.0
